GORCode,GORName,SurveyYear,AlcoholMean,AlcoholCount,OFishMean,OFishCount,BFolMean,BFolCount,BIronMean,BIronCount,BCalcMean,BCalcCount,BVitAMean,BVitACount,FandVMean,FandVCount,RMeatMean,RMeatCount,NMESMean,NMESCount,SFAMean,SFACount,SodMean,SodCount,VitDMean,VitDCount
7,London,2009,54.9,,32.2,,0.00,,9.84,,5.24,,6.99,94,295,94,42.4,94,11.4,94,12.9,94,2033,94,1.49,94
7,London,2010,45.2,,31.4,,3.93,,6.81,,17.48,,11.52,86,377,86,50.6,86,9.6,86,11,86,2273,86,2.29,86
7,London,2011,42.6,,33.2,,0.78,,8.97,,7.79,,5.99,97,272,97,42.7,97,9.1,97,12.5,97,2229,97,2.24,97
7,London,2012,59.1,,32.2,,0.00,,6.69,,3.85,,9.00,113,333,113,62.0,113,10,113,12.5,113,2055,113,2.65,113
7,London,2013,45.0,,37.3,,10.13,,24.98,,16.04,,24.25,82,268,82,51.8,82,11.3,82,11.9,82,1621,82,2.10,82
7,London,2014,51.2,,53.3,,4.34,,8.15,,10.47,,18.42,107,295,107,47.2,107,9.1,107,11.3,107,1999,107,2.80,107
7,London,2015,48.1,,35.1,,2.61,,24.10,,20.36,,18.64,89,272,89,36.3,89,10.8,89,11.9,89,1788,89,2.25,89
7,London,2016,30.3,,29.8,,11.99,,13.03,,9.88,,15.99,99,284,99,32.0,99,6.8,99,11.9,99,1692,99,2.25,99
8,South East,2008,63.5,,20.6,,0.00,,11.38,,1.36,,10.45,98,254,98,65.5,98,12.1,98,13.2,98,2197,98,2.22,98
8,South East,2009,57.9,,33.6,,3.09,,12.80,,0.69,,6.73,109,304,109,52.9,109,11.5,109,13.6,109,2161,109,2.40,109
8,South East,2010,47.9,,40.8,,3.74,,11.54,,5.39,,3.07,103,264,103,52.0,103,12.1,103,12.3,103,1985,103,2.62,103
8,South East,2011,58.7,,29.6,,6.97,,15.97,,8.68,,15.33,102,261,102,62.9,102,12.7,102,12.4,102,2139,102,2.25,102
8,South East,2012,65.8,,25.3,,1.28,,6.66,,5.49,,5.96,117,331,117,46.0,117,11.2,117,13.5,117,1925,117,2.35,117
8,South East,2013,48.7,,23.6,,9.07,,9.45,,6.09,,8.14,90,199,90,57.4,90,11.7,90,13.2,90,2039,90,2.47,90
8,South East,2014,58.3,,23.9,,5.59,,10.23,,10.84,,7.54,105,227,105,54.5,105,9.9,105,12.8,105,1890,105,2.06,105
8,South East,2015,52.2,,28.5,,0.76,,12.37,,2.84,,5.17,103,268,103,46.7,103,10.4,103,13.2,103,1759,103,2.34,103
8,South East,2016,58.8,,39.2,,5.35,,12.63,,5.60,,8.41,104,319,104,38.3,104,8.9,104,13,104,1902,104,2.71,104
9,South West,2008,58.9,,26.4,,0.00,,8.81,,4.32,,1.08,71,324,71,86.0,71,10,71,14.3,71,2343,71,2.73,71
9,South West,2009,60.3,,41.3,,0.00,,6.42,,3.51,,3.01,63,239,63,75.0,63,12.2,63,13.4,63,2285,63,2.55,63
9,South West,2010,65.3,,37.8,,0.00,,8.37,,0.00,,4.07,49,300,49,62.8,49,8.8,49,12.5,49,2003,49,2.73,49
9,South West,2011,64.4,,28.4,,1.58,,5.76,,3.56,,0.00,76,278,76,48.1,76,11,76,12.6,76,2078,76,2.89,76
9,South West,2012,47.6,,29.7,,0.00,,12.99,,4.35,,1.88,79,274,79,64.3,79,12.2,79,13.6,79,2036,79,2.25,79
9,South West,2013,60.3,,35.7,,10.02,,13.56,,15.91,,11.49,50,235,50,35.5,50,13.3,50,13,50,1802,50,2.70,50
9,South West,2014,46.1,,26.1,,3.02,,13.72,,7.60,,4.78,69,271,69,56.9,69,10.5,69,12.4,69,1735,69,2.35,69
9,South West,2015,55.7,,29.7,,0.00,,15.52,,2.23,,3.75,60,374,60,51.9,60,10.2,60,12.7,60,1980,60,2.60,60
9,South West,2016,50.0,,36.1,,1.24,,2.59,,3.04,,1.21,65,371,65,58.6,65,8.7,65,14.2,65,2036,65,2.88,65
10,Wales,2008,73.9,,15.9,,5.58,,14.54,,11.86,,14.42,32,288,32,101.3,32,12.2,32,13.1,32,2436,32,2.49,32
10,Wales,2009,59.5,,23.8,,1.52,,10.04,,3.39,,7.73,42,236,42,63.5,42,10.5,42,11.9,42,2129,42,2.38,42
10,Wales,2010,54.6,,24.2,,3.39,,10.38,,8.78,,9.10,35,210,35,65.0,35,11.3,35,12.9,35,2084,35,2.17,35
10,Wales,2011,50.7,,16.9,,1.03,,15.30,,3.99,,6.78,38,234,38,59.5,38,11,38,12.9,38,1951,38,2.73,38
10,Wales,2012,42.4,,25.6,,4.84,,13.24,,5.66,,5.58,36,219,36,52.5,36,10.7,36,12.7,36,1914,36,2.24,36
10,Wales,2013,58.7,,17.2,,3.60,,10.51,,8.63,,9.28,37,222,37,66.6,37,11.6,37,13,37,1893,37,2.31,37
10,Wales,2014,50.6,,31.0,,6.92,,11.30,,10.37,,16.90,33,249,33,52.3,33,11.9,33,12.7,33,1944,33,2.30,33
10,Wales,2015,44.5,,28.4,,6.76,,18.72,,8.17,,10.94,40,256,40,45.0,40,9.4,40,11.4,40,1879,40,2.31,40
10,Wales,2016,48.4,,27.3,,6.01,,19.02,,8.45,,8.41,36,245,36,48.8,36,9.2,36,13.3,36,1741,36,2.21,36
11,Scotland,2008,64.4,,22.4,,3.26,,11.24,,7.96,,7.13,68,219,68,64.0,68,11.3,68,13.2,68,2309,68,2.45,68
11,Scotland,2009,44.0,,25.7,,2.00,,7.10,,5.45,,10.28,67,241,67,58.2,67,11.6,67,13.4,67,2254,67,2.25,67
11,Scotland,2010,51.7,,19.7,,2.25,,8.15,,6.11,,7.94,65,244,65,69.6,65,11,65,12.7,65,2223,65,2.39,65
11,Scotland,2011,47.0,,22.5,,2.40,,13.15,,5.49,,6.62,58,230,58,60.0,58,10.7,58,12.5,58,1975,58,2.25,58
11,Scotland,2012,45.7,,21.7,,0.00,,9.49,,5.36,,2.31,67,222,67,55.0,67,11.5,67,12.8,67,2154,67,2.70,67
11,Scotland,2013,50.7,,29.3,,5.79,,14.40,,0.00,,8.34,61,258,61,68.8,61,11.3,61,12.7,61,2072,61,2.26,61
11,Scotland,2014,37.9,,32.6,,6.77,,13.59,,9.31,,20.97,64,206,64,49.5,64,10.8,64,12.2,64,2000,64,2.21,64
11,Scotland,2015,48.4,,29.8,,6.53,,13.39,,6.93,,8.83,64,183,64,52.6,64,8.6,64,13.8,64,1609,64,2.36,64
11,Scotland,2016,28.1,,30.5,,3.05,,11.76,,3.31,,4.24,64,255,64,50.4,64,8.1,64,13.3,64,2163,64,2.67,64
12,Northern Ireland,2008,49.9,,26.6,,3.10,,6.99,,4.02,,3.04,21,231,21,72.3,21,10.8,21,13,21,2248,21,2.85,21
12,Northern Ireland,2009,41.0,,9.6,,5.87,,15.90,,8.88,,10.12,19,151,19,64.1,19,12.5,19,12.9,19,2124,19,2.18,19
12,Northern Ireland,2010,38.8,,16.2,,2.85,,13.59,,11.19,,9.17,23,220,23,72.7,23,9.4,23,12.7,23,2222,23,2.15,23
12,Northern Ireland,2011,41.7,,21.9,,1.69,,14.11,,2.20,,5.62,21,218,21,69.4,21,11,21,13.5,21,1888,21,2.35,21
12,Northern Ireland,2012,46.5,,23.3,,6.69,,26.33,,0.00,,13.40,8,153,8,82.2,8,12.3,8,13.5,8,2159,8,2.41,8
12,Northern Ireland,2013,49.7,,15.7,,0.80,,12.68,,6.82,,9.62,34,178,34,69.6,34,9.4,34,13.8,34,2177,34,2.52,34
12,Northern Ireland,2014,45.9,,17.0,,3.55,,18.40,,6.18,,8.89,22,217,22,61.9,22,9,22,13.2,22,2142,22,2.67,22
12,Northern Ireland,2015,40.7,,25.9,,5.68,,14.50,,8.43,,14.95,20,222,20,67.0,20,8.8,20,13.3,20,1761,20,2.59,20
12,Northern Ireland,2016,35.8,,21.0,,7.35,,19.14,,14.51,,13.72,21,198,21,53.2,21,8,21,13.4,21,1799,21,1.98,21
